Company/Entity Name,Article Title,Article URL,Snippet,Category
OneWeb / Sunil Mittal,"Universal connectivity should be the birth right for all in wireless world of the future: Sunil Mittal, OneWeb",https://www.voicendata.com/universal-connectivity-should-be-the-birth-right-for-all-in-wireless-world-of-the-future-sunil-mittal-oneweb/,"Sunil Mittal outlines OneWeb LEO 462 satellites, 1.1 Tbps capacity, collaboration with ISRO and SpaceX.",Satellite connectivity
Starlink / OneWeb / Jio,Satellite Internet: A high-stakes race for India's remote connections,https://www.voicendata.com/space/satellite-internet-a-high-stakes-race-for-indias-remote-connections-10229046,"Three-way race: Starlink consumer LEO, JioSpaceFiber MEO+GEO B2B, OneWeb enterprise via Hughes for BharatNet backhaul.",Satellite connectivity
Vi Business / Nokia / Fortinet,Vi Business launches Hybrid SD-WAN for improved Enterprise Networking,https://www.voicendata.com/vi-business-launches-hybrid-sd-wan-for-improved-enterprise-networking/,"Vi Business Hybrid SD-WAN with ILL/MPLS/4G/5G integration, real-time analytics, Nokia Fortinet partnership.",Enterprise networking
VVDN,"VVDN launches end to end private 5G solution for enterprises for SI, OEMs, Telcos",https://www.voicendata.com/vvdn-launches-end-to-end-private-5g-solution-for-si-oems-telcos/,"VVDN end-to-end private 5G with ORAN radios, CU/DU, 5G core for warehouses, campuses, airports.",Enterprise networking
Infosys / HPE,Infosys Rolls Out Private 5G-as-a-Service to Accelerate Business Value,https://www.voicendata.com/infosys-rolls-out-private-5g-as-a-service-to-accelerate-business-value/,"Infosys Private 5G-as-a-Service with MEC for remote vehicles, drones, HD video analytics, pay-as-you-go model.",Enterprise networking
Airtel / Bosch,Airtel deploys India's first private 5G network at Bosch facility,https://www.voicendata.com/airtel-deploys-indias-first-private-5g-network-at-bosch-facility/,Airtel trial at Bosch Bengaluru using DoT trial spectrum for AOI quality inspection and automated operations.,Enterprise networking
DoT / M2M,TRAI issues revised guidelines for M2M SIM ownership and critical IoT services,https://www.voicendata.com/news/trai-issues-revised-guidelines-for-m2m-sim-ownership-and-critical-iot-services-8992008,"TRAI technology-agnostic framework for critical IoT, MTCTE for M2M modules, SIM transfer on merger.",IoT / M2M infrastructure
DoT / BIF,Government Takes Steps for Proliferation and Innovation in M2M,https://www.voicendata.com/government-takes-steps-proliferation-innovation-m2m/,"Govt registers M2M SPs, new UL M2M licenses, 13-digit numbering, eSIM OTA for M2M ecosystem.",IoT / M2M infrastructure
Airtel / Jio / Vi / TRAI,"M2M Connections Emerge as Telecom Growth Anchor for Airtel, Jio and Vi",https://www.voicendata.com/internet-of-things/m2m-growth-helps-indian-telcos-navigate-consumer-subscriber-swings-12147706,"M2M grows Jan-May 2026: Airtel 70M to 80M, Jio 20.6M to 25.1M, Vi 18.8M to 21M offsetting consumer churn.",IoT / M2M infrastructure
DoT / BharatNet,Bharat Net Phase 1 is Finally Over; Big Step in Digital India Journey,https://www.voicendata.com/bharat-net-phase-1-finally-big-step-digital-india-journey/,"Phase 1 completes 1.1 lakh villages on 2.55 lakh km fiber, Phase 2 target 1.5 lakh GPs by Dec 2018.",Optical fibre & BharatNet
HFCL / BharatNet,"Through HFCL, Jharkhand becomes India's first State to Provide Fiber Optic Connectivity to all Gram Panchayats under BharatNet Program",https://www.voicendata.com/hfcl-jharkhand-becomes-indias-first-state-provide-fiber-optic-connectivity-gram-panchayats-bharatnet-program/,"HFCL lays 7,765 km OFC connecting 1,789 GPs in Jharkhand, first state-led BharatNet completion.",Optical fibre & BharatNet
BharatNet / BSNL,High-speed internet via optical fibre to reach 6 lakh villages within three years,https://www.voicendata.com/broadband/high-speed-internet-via-optical-fibre-to-reach-6-lakh-villages-within-three-years-9498309,"BharatNet Phase 3 Rs 1.39 lakh crore to connect 2.5 lakh GPs and 6 lakh villages, 12 packages awarded.",Optical fibre & BharatNet
BSNL / BBNL,India's BTS count surges to 29.43 lakh in November 2024,https://www.voicendata.com/news/indias-bts-count-surges-to-2943-lakh-in-november-2024-7659259,"Total BTS 6.49L in 2014 to 29.43L in Nov 2024, 4.6L 5G BTS, BharatNet revised cost Rs 1,39,579 cr.",Optical fibre & BharatNet
STL / T-Fiber,STL to deliver T-Fiber's digital infrastructure to 6 million rural citizens of Telangana,https://www.voicendata.com/stl-deliver-t-fiber-based-digital-infrastructure-6-million-rural-citizens-telangana/,"STL Rs 1800 cr T-Fiber project to deploy 64,000 km OFC with IP MPLS and GPON across 3000 GPs.",Optical fibre & BharatNet
STL,Inside STL's vision for the future of fibre and AI networks,https://www.voicendata.com/news/indias-vision-for-a-digital-and-equitable-future-trai-chairman-speaks/,"STL CTO on multi-core fibre, hollow-core fibre, fibre sensing AI and BharatNet role for data centres.",Optical fibre & BharatNet
Airtel / Jio / BSNL / Vi,India's vision for a digital and equitable future: TRAI chairman speaks,https://www.voicendata.com/news/starlink-reportedly-receives-gmpcs-license-from-dot-in-india-at-last/,"TRAI chairman notes 2.14 lakh GPs on BharatNet fibre, 5000 via satellite, digital inclusion vision.",Optical fibre & BharatNet
Starlink / DoT,Starlink reportedly receives GMPCS license from DoT in India at Last,https://www.voicendata.com/news/oneweb-agrees-to-satellite-launch-program-with-new-space-india/,"Starlink gets GMPCS license after OneWeb and Jio Satellite, third to offer satcom broadband.",Satellite connectivity
OneWeb / ISRO,OneWeb agrees to satellite launch program with New Space India,https://www.voicendata.com/news/trai-consultation-signals-shift-in-satellite-spectrum-policy/,"OneWeb 428 satellites in orbit, 36 launched via ISRO NSIL from Sriharikota.",Satellite connectivity
DoT / TRAI,TRAI consultation signals shift in satellite spectrum policy,https://www.voicendata.com/news/trai-consultation-signals-shift-in-satellite-spectrum-policy-XXXXX,TRAI proposes network-level authorization and lower growth-oriented pricing for nascent satcom.,Telecom spectrum & TRAI regulation
Vi / Nokia / Ericsson,Vi expands 5G rollout with AI-powered SON and Nokia Ericsson partnership,https://www.voicendata.com/5g/vi-expands-5g-rollout-to-23-additional-cities-across-india-9450737,Vi deploys AI Self-Organising Networks for energy efficiency and seamless 4G-5G integration.,5G rollout & operator strategy
