Company/Entity Name,Article Title,Article URL,Snippet,Category
TCS / Infosys / Wipro / HCLTech,"Infosys, TCS, and Wipro Experience Decline in Attrition in Q1 FY24, Here's Why",https://www.dqindia.com/infosys-tcs-and-wipro-experience-decline-in-attrition-in-q1-fy24-heres-why/,Q1 FY24 analysis shows attrition down to 14-17% across top IT firms as hiring slows and utilization focus increases.,Indian IT industry rankings & analysis
Infor / AWS,Infor launches Industry-Specific AI agents and cloud migration offer,https://www.dqindia.com/news/infor-launches-industry-specific-ai-agents-and-cloud-migration-offer-10572265,Infor launches Industry AI Agents on Bedrock with Agentic Orchestrator and fixed-fee Infor Leap migration.,AI/ML enterprise adoption
NPCI / RBL / HDFC,NPCI pilots APBS and UPI tools to digitize the Microfinance Industry,https://www.dqindia.com/npci-pilots-apbs-and-upi-tools-to-digitize-the-microfinance-industry/,NPCI pilot digitizes MFI disbursal via APBS and repayment via UPI USSD for 80M annual transactions.,BFSI digital transformation
TO THE NEW,TO THE NEW drives digital transformation in the BFSI sector,https://www.dqindia.com/new-drives-digital-transformation-bfsi-sector/,TO THE NEW enables digital transformation for 20+ BFSI clients globally using analytics and marketing tech.,BFSI digital transformation
Dell Technologies,DQ Top 20 Rank 13 - Dell Technologies India Empowering Innovation and Growth in India and Beyond,https://www.dqindia.com/dq-top-20-rank-13-dell-technologies-india-empowering-innovation-and-growth-in-india-and-beyond/,"Dell DQ Top20 profile covering multi-cloud, Edge, 5G, AI/ML focus and $26.1B Q1 FY23 record revenue.",Indian IT industry rankings & analysis
TCS / Infosys / Wipro / Patni,A Promising Quarter,https://www.dqindia.com/a-promising-quarter/,"Oct-Dec 2004 quarter review of TCS 54% profit growth, Infosys 52%, Wipro 71% and outsourcing trends.",Indian IT industry rankings & analysis
IBM / SAP,IBM and SAP speed up cloud ERP migration with new hyperscaler option,https://www.dqindia.com/news/ibm-and-sap-speed-up-cloud-erp-migration-with-new-hyperscaler-option-9455238,IBM Power Virtual Server added as hyperscaler for SAP Cloud ERP Private enabling 90-day S/4HANA migrations.,Enterprise IT & cloud services
Wipro / TCS / Infosys,"Wipro rolls out 90% variable pay for Q4 FY25, surpassing TCS and Infosys",https://www.dqindia.com/news/wipro-rolls-out-90-variable-pay-for-q4-fy25-surpassing-tcs-and-infosys-9350240,Wipro disburses 90% variable pay for Q4 FY25 vs Infosys 65% and TCS differentiated 20-100% linked to performance.,Indian IT industry rankings & analysis
UPI / Fintech / NPCI,UPI's 52% Surge: What Fintechs Can Learn from India's Digital Payments Revolution,https://www.dqindia.com/business-technologies/upis-52-surge-what-fintechs-can-learn-from-indias-digital-payments-revolution-8738763,UPI 78.97B transactions in H1 2024 up 52% YoY analysis and lessons for fintech on scalability and inclusion.,BFSI digital transformation
Infosys / Tejas Networks / NPCI,"Salil Parekh, Harish Mehta, Tejas Networks & NPCI win at the 30th Dataquest ICT Awards",https://www.dqindia.com/salil-parekh-harish-mehta-tejas-networks-npci-win-at-the-30th-dataquest-ict-awards/,"DQ ICT Awards 30th edition coverage recognizing Infosys CEO, Tejas BharatNet role and NPCI Digital India contribution.",Government digital initiatives
